"","cod_mun","tot_vacinado","F","M","I","dose1_F","dose2_F","reforco_F","dose1_M","dose2_M","reforco_M","dose1_I","dose2_I","reforco_I"
"1","",2153192,974978,1175922,2051,441024,348645,185292,554714,422902,198286,57,34,1959
"2","110001",46591,23525,23066,0,10382,9138,4005,10534,8871,3661,0,0,0
"3","110002",179763,95188,84575,0,43941,36273,14974,40359,31698,12518,0,0,0
"4","110003",11750,5811,5939,0,2508,2170,1133,2618,2183,1138,0,0,0
"5","110004",163186,86295,76890,1,38662,32486,15147,35625,28592,12673,0,0,1
"6","110005",32384,16805,15579,0,7208,6175,3422,6934,5692,2953,0,0,0
"7","110006",38571,19573,18998,0,8436,7409,3728,8477,7242,3279,0,0,0
"8","110007",14399,6907,7492,0,2899,2483,1525,3254,2720,1518,0,0,0
"9","110008",19260,9478,9782,0,4281,3507,1690,4616,3592,1574,0,0,0
"10","110009",55159,28357,26802,0,12532,10791,5034,12342,10234,4226,0,0,0
"11","110010",68949,35148,33801,0,16956,13291,4901,16941,12520,4340,0,0,0
"12","110011",114707,59787,54920,0,26160,22649,10978,24658,20496,9766,0,0,0
"13","110012",227389,121958,105431,0,53804,45254,22900,49028,38717,17686,0,0,0
"14","110013",57320,28078,29242,0,12210,11231,4637,13192,11375,4675,0,0,0
"15","110014",34792,17430,17362,0,7353,6471,3606,7559,6390,3413,0,0,0
"16","110015",71644,38050,33594,0,16944,13808,7298,15578,11930,6086,0,0,0
"17","110018",70747,36685,34062,0,15677,13710,7298,15226,12468,6368,0,0,0
"18","110020",923658,487293,436363,2,210298,178582,98413,199052,157396,79915,1,1,0
"19","110025",40429,20323,20106,0,9028,7490,3805,9192,7357,3557,0,0,0
"20","110026",6154,3005,3149,0,1313,1099,593,1458,1130,561,0,0,0
"21","110028",101706,52699,49007,0,23271,19824,9604,22424,18042,8541,0,0,0
"22","110029",16437,8379,8058,0,3484,3074,1821,3503,2965,1590,0,0,0
"23","110030",170840,91167,79673,0,40133,34527,16507,36428,29903,13342,0,0,0
"24","110032",31664,15630,16034,0,7587,5999,2044,7887,5925,2222,0,0,0
"25","110033",34216,17570,16646,0,8227,6797,2546,8150,6314,2182,0,0,0
"26","110034",26443,13305,13138,0,5630,4908,2767,5753,4774,2611,0,0,0
"27","110037",19705,9830,9875,0,4493,3638,1699,4651,3568,1656,0,0,0
"28","110040",26856,13206,13650,0,5885,5104,2217,6272,5203,2175,0,0,0
"29","110045",50381,25638,24743,0,12178,9725,3735,12201,9192,3350,0,0,0
"30","110050",16775,8380,8395,0,3615,3105,1660,3719,3067,1609,0,0,0
"31","110060",8097,4164,3933,0,1807,1553,804,1789,1470,674,0,0,0
"32","110070",17579,8682,8897,0,3994,3270,1418,4218,3332,1347,0,0,0
"33","110080",36255,18504,17751,0,8496,6872,3136,8488,6465,2798,0,0,0
"34","110090",7132,3500,3632,0,1466,1306,728,1577,1339,716,0,0,0
"35","110092",16035,7952,8083,0,3675,2931,1346,3919,2987,1177,0,0,0
"36","110094",20076,10059,10017,0,4911,3828,1320,4983,3732,1302,0,0,0
"37","110100",14575,7250,7325,0,3152,2790,1308,3330,2764,1231,0,0,0
"38","110110",17938,8996,8942,0,3995,3455,1546,4108,3394,1440,0,0,0
"39","110120",15946,7998,7948,0,3492,3034,1472,3608,2979,1361,0,0,0
"40","110130",18762,9443,9318,1,4336,3621,1486,4327,3505,1486,0,1,0
"41","110140",21688,10938,10750,0,5031,4068,1839,5127,3947,1676,0,0,0
"42","110143",11680,5613,6067,0,2467,2086,1060,2751,2208,1108,0,0,0
"43","110145",8862,4264,4598,0,1780,1546,938,2036,1684,878,0,0,0
"44","110146",4902,2395,2507,0,1023,868,504,1088,897,522,0,0,0
"45","110147",7521,3647,3874,0,1586,1339,722,1765,1421,688,0,0,0
"46","110148",12154,5868,6286,0,2387,2115,1366,2621,2258,1407,0,0,0
"47","110149",25935,13310,12625,0,6287,4993,2030,6250,4674,1701,0,0,0
"48","110150",20087,10021,10065,1,4805,3746,1470,4966,3656,1443,1,0,0
"49","110155",9683,4802,4881,0,1965,1735,1102,2047,1743,1091,0,0,0
"50","110160",12217,5984,6233,0,2575,2262,1147,2811,2292,1130,0,0,0
"51","110170",22162,11105,11057,0,4872,4116,2117,5009,4052,1996,0,0,0
"52","110175",12587,5924,6663,0,2607,2210,1107,2998,2468,1197,0,0,0
"53","110180",12804,6317,6487,0,2754,2421,1142,2949,2447,1091,0,0,0
"54","120001",20640,10836,9804,0,4858,4039,1939,4625,3626,1553,0,0,0
"55","120005",13887,7053,6834,0,3208,2544,1301,3217,2441,1176,0,0,0
"56","120010",42392,20705,21687,0,9804,7697,3204,10681,7912,3094,0,0,0
"57","120013",14654,7790,6864,0,3468,2871,1451,3220,2487,1157,0,0,0
"58","120017",13615,6875,6740,0,3247,2545,1083,3344,2400,996,0,0,0
"59","120020",156506,81652,74854,0,37851,31647,12154,36279,28498,10077,0,0,0
"60","120025",22563,11608,10955,0,5423,4421,1764,5262,4031,1662,0,0,0
"61","120030",49376,25085,24291,0,12061,9182,3842,12291,8638,3362,0,0,0
"62","120032",13714,7161,6553,0,3266,2468,1427,3218,2247,1088,0,0,0
"63","120033",28752,14752,14000,0,7062,5559,2131,6983,5134,1883,0,0,0
"64","120034",14732,7359,7373,0,3464,2662,1233,3588,2636,1149,0,0,0
"65","120035",29243,14467,14776,0,6727,5337,2403,7211,5389,2176,0,0,0
"66","120038",29780,14611,15169,0,6414,5505,2692,6943,5650,2576,0,0,0
"67","120039",16741,8382,8359,0,4086,3224,1072,4325,3107,927,0,0,0
"68","120040",780694,416539,364155,0,182499,155047,78993,166591,134825,62739,0,0,0
"69","120042",21431,10999,10431,1,5389,4098,1512,5415,3793,1223,1,0,0
"70","120043",9485,4696,4789,0,2229,1638,829,2303,1669,817,0,0,0
"71","120045",36769,19382,17387,0,8698,6932,3752,8122,6261,3004,0,0,0
"72","120050",70328,35857,34471,0,16172,13376,6309,16246,12766,5459,0,0,0
"73","120060",63077,31919,31158,0,15221,11470,5228,15577,10966,4615,0,0,0
